DFS,Number of Nodes,10,6,40,6,27,6,82,6,63,4,20,8,16,9,20,21,14,17,76,70,9,28,35,10,2,8,13,6,16,14,2,2,9,16,16,23,17,6,6,25,48,2,10,54,6,62,8,9,15,37,97,10,14,16,9,5,52,43,10,14,6,23,19,5,9,41,13,8,5,2,29,34,8,10,5,6,5,2,28,2,4,21,15,10,52,120,6,6,6,10,6,5,5,9,22,17,2,6,9,2,6,25,6,84,12,2,6,13,6,20,2,26,6,48,58,6,2,8,23,101,10,20,2,6,8,43,5,9,6,10,8,40,24,44,2,16,10,48,5,17,6,55,28,6,27,31,6,17,6,53,6,10,9,6,6,6,5,6,37,14,28,7,93,5,35,4,16,26,6,13,6,2,10,6,22,5,6,6,4,6,17,6,68,29,6,6,10,10,9,6,10,42,6,9,18,6,6,26,2,10,
DFS,Solution Lenght,2,1,13,1,7,1,26,1,22,1,6,2,5,2,6,5,3,4,22,23,2,8,11,3,0,2,3,1,4,4,0,0,2,5,5,7,4,1,1,8,15,0,3,17,1,19,2,2,4,11,28,2,4,5,2,1,17,13,2,4,1,7,6,1,2,13,4,2,1,0,9,10,2,2,1,1,1,0,8,0,1,7,5,2,17,35,1,1,1,2,1,1,1,2,7,4,0,1,2,0,1,7,1,25,3,0,1,3,1,6,0,6,1,15,19,1,0,2,6,29,2,6,0,1,2,15,1,3,1,2,2,12,8,14,0,5,2,15,1,4,1,18,7,1,8,10,1,5,1,17,1,2,2,1,1,1,1,1,12,3,7,2,26,1,10,1,4,7,1,3,1,0,2,1,6,1,1,1,1,1,4,1,23,9,1,1,3,2,2,1,2,13,1,2,4,1,1,9,0,3,
DFS,Duration,900000,29700,235800,18800,114700,19400,296600,16100,258100,11100,48400,22700,42800,18600,42200,50200,35700,66700,143600,133400,14200,38300,52600,15800,1000,11600,17600,16400,20600,22800,900,700,25300,20100,21400,28200,18300,6200,5300,27200,65000,1000,11100,63000,5500,63800,8200,9000,14700,32600,81800,8600,11900,22300,7000,4200,41400,36200,8700,13700,4900,18400,16300,3900,7200,33400,10800,7100,28400,700,16400,18600,10900,8900,6000,4900,5700,1200,36400,1400,4800,20000,15500,6300,30100,76900,3500,3400,4000,7600,3100,3100,3100,7100,17900,9600,900,3000,4800,900,2800,22100,4600,48300,10000,900,3100,7900,3900,11800,1000,14100,3800,26300,36100,3300,900,5100,12800,66600,5700,17800,1000,3600,5400,26600,36500,10700,5000,5600,3200,18800,10700,19000,700,6600,3600,20600,1900,6600,2900,25900,10900,2000,10200,17300,2700,6400,2300,28900,2300,3400,9100,2100,1800,2200,1800,1900,14900,6100,10900,3300,40300,2200,15600,2500,7800,10800,2100,5200,1900,500,3400,1900,8300,2200,3100,1900,2100,2700,7900,2000,31100,11700,2600,3200,5900,4200,4000,2900,3100,17300,2000,3000,12200,2200,1900,11400,600,10700,
AS,Number of Nodes,14,6,18,6,8,6,11,6,12,4,9,9,13,8,19,25,11,14,17,27,10,8,9,8,2,9,14,6,17,13,2,2,10,11,8,13,22,6,6,9,43,2,10,26,6,8,9,13,12,11,28,13,15,10,9,5,30,10,12,8,6,12,9,5,10,11,9,9,5,2,9,9,7,11,5,6,5,2,20,2,4,9,9,13,35,19,6,6,6,11,6,5,5,11,14,9,2,6,9,2,6,11,6,15,13,2,6,13,6,15,2,15,6,18,9,6,2,7,15,19,11,17,2,6,9,28,5,7,6,13,9,8,11,10,2,6,11,13,5,8,6,10,9,6,11,14,6,11,6,15,6,11,11,6,6,6,5,6,14,23,13,7,30,5,9,4,13,15,6,13,6,2,13,6,19,5,6,6,4,6,22,6,9,18,6,6,11,11,8,6,11,11,6,11,23,6,6,23,2,9,
AS,Solution Lenght,2,1,5,1,2,1,2,1,4,1,2,2,3,2,4,4,2,4,4,6,2,2,2,2,0,2,3,1,4,3,0,0,2,3,2,4,4,1,1,2,7,0,3,5,1,2,2,2,4,2,6,2,4,3,2,1,6,2,2,2,1,3,2,1,2,2,3,2,1,0,2,2,2,2,1,1,1,0,3,0,1,2,3,2,6,3,1,1,1,2,1,1,1,2,6,2,0,1,2,0,1,2,1,4,3,0,1,3,1,4,0,4,1,4,2,1,0,2,3,4,2,4,0,1,2,6,1,3,1,2,2,2,3,2,0,2,2,3,1,2,1,2,2,1,2,3,1,3,1,3,1,2,2,1,1,1,1,1,4,3,5,2,8,1,2,1,4,3,1,3,1,0,2,1,3,1,1,1,1,1,4,1,2,3,1,1,3,2,2,1,2,3,1,2,4,1,1,6,0,3,
AS,Duration,340900,29100,182100,28700,39000,22800,48700,19400,53800,12500,35200,39400,73600,22800,80200,105900,35900,32900,36400,71100,21400,18700,13000,17000,1700,15400,40200,8200,32600,23000,1800,1400,15800,51000,11000,30300,34900,5900,6300,13500,89900,1500,16100,54700,6200,9100,11400,17900,13100,12100,45800,15400,32500,14000,11000,4300,55300,12700,14800,8900,5000,12100,11100,4100,12500,11200,9000,29100,5200,1200,9200,41900,11600,19500,7700,8400,8600,2100,45200,2200,11900,16700,19900,15600,59900,30400,5000,5100,15200,11600,5000,4200,4000,12600,23000,11800,1200,5400,11100,1200,4900,11900,5700,17000,17000,1300,5900,16100,5900,19100,1400,18600,5200,24200,9900,4200,900,6200,13800,18000,10200,18600,1000,5000,8200,35100,3900,7500,4200,14000,10300,7900,11400,10400,1400,10900,8700,12100,16300,7200,20200,9200,7200,4100,9500,13600,4000,10600,3900,18100,3900,9800,10700,3900,3800,3900,3300,3600,15100,24900,11800,7500,39500,3700,7200,2700,9500,13500,4100,12300,4000,800,11100,3800,47700,2500,2700,2800,2100,4000,16900,3100,5000,12100,3100,3600,8000,15000,5400,3500,6300,5500,2700,6000,15300,2800,3000,17000,900,6900,
UCS,Number of Nodes,18,11,24,11,16,12,24,6,25,4,19,12,14,11,38,41,19,22,32,42,12,16,20,12,2,10,24,11,20,22,2,2,16,15,16,37,35,11,11,13,52,2,13,32,9,21,11,13,16,24,37,13,27,14,14,8,36,21,17,13,13,24,14,9,13,22,24,12,5,2,21,20,8,16,8,11,8,2,28,2,4,15,12,14,42,24,13,8,11,18,11,5,8,15,35,19,2,11,14,2,12,18,6,39,16,2,11,19,6,30,2,32,8,37,16,12,2,10,30,30,14,26,2,6,13,46,9,12,12,16,11,18,17,17,2,12,17,27,7,20,6,19,19,13,19,21,9,21,8,33,11,14,11,9,9,9,6,10,24,28,38,9,47,9,15,6,18,33,12,18,13,2,17,12,30,7,9,11,6,10,26,10,15,26,9,6,13,16,10,6,18,27,9,17,34,6,12,36,2,10,
UCS,Solution Lenght,2,1,5,1,2,1,2,1,4,1,2,2,3,2,4,4,2,4,4,6,2,2,2,2,0,2,3,1,4,3,0,0,2,3,2,4,4,1,1,2,7,0,3,5,1,2,2,2,4,2,6,2,4,3,2,1,6,2,2,2,1,3,2,1,2,2,3,2,1,0,2,2,2,2,1,1,1,0,3,0,1,2,3,2,6,3,1,1,1,2,1,1,1,2,6,2,0,1,2,0,1,2,1,4,3,0,1,3,1,4,0,4,1,4,2,1,0,2,3,4,2,4,0,1,2,6,1,3,1,2,2,2,3,2,0,2,2,3,1,2,1,2,2,1,2,3,1,3,1,3,1,2,2,1,1,1,1,1,4,3,5,2,8,1,2,1,4,3,1,3,1,0,2,1,3,1,1,1,1,1,4,1,2,3,1,1,3,2,2,1,2,3,1,2,4,1,1,6,0,3,
UCS,Duration,200700,58000,175700,47500,84900,49600,98400,30000,160500,7800,75600,35700,48200,36900,120400,138900,52600,63600,74100,111400,21600,28200,48900,28100,1100,15300,43500,12600,38400,42600,1100,900,29500,46900,24700,77800,57700,16900,10300,15400,94000,900,14400,47300,7700,31900,10500,12500,21900,26000,66600,13400,46800,16300,15200,7000,52500,28100,31900,10500,14900,23600,12400,4700,9100,17800,19500,7800,2400,700,15200,29200,10800,19200,8900,11300,7200,1100,38700,1100,3500,17100,11000,12900,41600,20700,7500,4700,5700,12000,6200,2200,5100,9500,31900,11700,1700,6100,9000,700,6200,13300,2700,37100,10900,700,11100,13000,2600,37500,800,27800,4800,35700,11600,6900,700,5500,28100,26000,14900,28100,800,3400,8500,42400,6900,10300,7200,12300,8800,12100,12300,12400,3200,8200,11500,21100,3600,13700,7200,11900,13000,12400,13500,16300,6400,18800,5300,29200,6600,9300,7800,4200,4900,4300,4500,5500,18800,23600,57700,4300,40300,4100,8300,2700,10200,28200,4900,11400,5800,500,6700,5200,23400,3400,2500,4100,2800,3200,16400,4200,7000,15500,4100,1700,7100,9800,3600,1700,7500,19600,3300,6800,19800,1600,4200,22800,600,4300,
GBFS,Number of Nodes,9,6,12,6,8,6,9,6,12,4,9,7,10,8,13,13,9,14,12,21,8,8,9,8,2,7,11,6,13,11,2,2,8,11,8,13,14,6,6,8,21,2,8,17,6,8,7,8,12,9,19,9,11,8,8,5,15,8,9,8,6,12,8,5,8,9,9,7,5,2,9,9,7,9,5,6,5,2,12,2,4,8,7,9,18,11,6,6,6,9,6,5,5,8,14,8,2,6,8,2,6,9,6,15,10,2,6,11,6,13,2,14,6,15,9,6,2,7,12,14,9,11,2,6,8,19,5,7,6,9,7,8,8,8,2,6,9,10,5,8,6,8,9,6,9,11,6,11,6,11,6,9,8,6,6,6,5,6,11,12,13,6,19,5,7,4,13,11,6,11,6,2,9,6,12,5,6,6,4,6,14,6,8,11,6,6,8,9,8,6,9,11,6,9,15,6,6,18,2,8,
